,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-24,9695,0,9670,9695,9665,148570
1842,2017-01-25,9695,0,9740,9740,9695,140214
1841,2017-01-26,9640,55,9665,9680,9630,146811
1840,2017-01-31,9675,35,9730,9730,9675,126930
1839,2017-02-01,9650,25,9600,9650,9590,136113
1835,2017-02-02,9555,95,9610,9610,9545,176745
1834,2017-02-03,9560,5,9550,9560,9535,160610
1833,2017-02-06,9480,80,9500,9500,9460,166825
1832,2017-02-07,9530,50,9455,9540,9455,147392
1831,2017-02-08,9545,15,9535,9560,9525,147777
1828,2017-02-09,9545,0,9530,9560,9520,149795
1827,2017-02-10,9575,30,9590,9615,9575,127933
1826,2017-02-13,9590,15,9580,9615,9570,146118
1825,2017-02-14,9475,115,9580,9580,9475,181797
1824,2017-02-15,9500,25,9510,9535,9485,147050
1820,2017-02-16,9500,0,9450,9525,9440,146182
1819,2017-02-17,9550,50,9540,9560,9530,163163
1818,2017-02-20,9565,15,9585,9585,9535,134385
1817,2017-02-21,9545,20,9550,9570,9540,138490
1816,2017-02-22,9520,25,9520,9520,9490,167492
1813,2017-02-23,9480,40,9510,9515,9470,154398
1812,2017-02-24,9425,55,9445,9460,9410,132313
1811,2017-02-27,9450,25,9450,9455,9420,136375
1810,2017-02-28,9430,20,9450,9465,9425,123036
1809,2017-03-02,9510,80,9520,9530,9510,134291
1805,2017-03-03,9640,130,9565,9640,9560,130795
1804,2017-03-06,9640,0,9620,9665,9605,122101
1803,2017-03-07,9565,75,9635,9645,9555,128253
1802,2017-03-08,9555,10,9585,9585,9535,140102
1801,2017-03-09,9660,105,9620,9660,9615,159781
1798,2017-03-10,9640,20,9670,9675,9635,241649
1797,2017-03-13,9550,90,9585,9595,9550,127882
1796,2017-03-14,9565,15,9585,9585,9545,139060
1795,2017-03-15,9545,20,9565,9595,9525,166742
1794,2017-03-16,9450,95,9430,9460,9415,152650
1790,2017-03-17,9440,10,9430,9450,9415,149217
1789,2017-03-20,9350,90,9420,9425,9345,167613
1788,2017-03-21,9330,20,9300,9345,9290,168150
1787,2017-03-22,9375,45,9370,9395,9355,133994
1786,2017-03-23,9350,25,9330,9350,9320,140140
1783,2017-03-24,9365,15,9350,9380,9340,151763
1782,2017-03-27,9285,80,9305,9305,9280,137556
1781,2017-03-28,9290,5,9275,9290,9270,196939
1780,2017-03-29,9300,10,9300,9310,9280,136946
1779,2017-03-30,9325,25,9290,9330,9275,126864
1775,2017-03-31,9335,10,9335,9360,9330,295039
1774,2017-04-03,9310,25,9330,9330,9275,245224
1773,2017-04-04,9350,40,9325,9350,9320,284189
1772,2017-04-05,9385,35,9375,9385,9350,283557
1771,2017-04-06,9445,60,9410,9460,9395,290342
1768,2017-04-07,9470,25,9450,9500,9435,292227
1767,2017-04-10,9535,65,9495,9545,9495,797546
1766,2017-04-11,9575,40,9540,9600,9515,300757
1765,2017-04-12,9520,55,9575,9595,9520,316248
1764,2017-04-13,9440,80,9455,9495,9400,320797
1760,2017-04-14,9510,70,9495,9525,9475,262286
1759,2017-04-17,9500,10,9500,9500,9460,293898
1758,2017-04-18,9525,25,9460,9535,9450,243174
1757,2017-04-19,9515,10,9535,9540,9495,262921
1756,2017-04-20,9505,10,9550,9555,9495,741002
1753,2017-04-21,9455,50,9510,9515,9455,269809
1752,2017-04-24,9440,15,9420,9470,9420,227994
1751,2017-04-25,9390,50,9480,9485,9390,201479
1750,2017-04-26,9400,10,9415,9425,9370,233957
1749,2017-04-27,9430,30,9460,9460,9415,401206
1745,2017-04-28,9485,55,9455,9485,9420,207188
1744,2017-05-02,9450,35,9495,9495,9415,223460
1743,2017-05-04,9455,5,9470,9470,9440,249247
1742,2017-05-08,9460,5,9480,9495,9440,234897
1741,2017-05-10,9480,20,9500,9500,9460,164916
1738,2017-05-11,9430,50,9470,9475,9420,225711
1737,2017-05-12,9420,10,9405,9430,9380,156123
1736,2017-05-15,9395,25,9410,9420,9390,118959
1735,2017-05-16,9330,65,9350,9355,9325,144940
1734,2017-05-17,9345,15,9320,9375,9315,141141
1730,2017-05-18,9405,60,9380,9425,9380,125874
1729,2017-05-19,9405,0,9420,9455,9400,146660
1728,2017-05-22,9350,55,9480,9480,9310,138447
1727,2017-05-23,9385,35,9325,9385,9325,144231
1726,2017-05-24,9420,35,9400,9425,9380,131632
1723,2017-05-25,9325,95,9355,9365,9325,147638
1722,2017-05-26,9355,30,9350,9370,9330,137729
1721,2017-05-29,9375,20,9355,9375,9335,137319
1720,2017-05-30,9395,20,9395,9400,9375,144698
1719,2017-05-31,9360,35,9375,9400,9360,145356
1715,2017-06-01,9375,15,9355,9385,9340,126008
1714,2017-06-02,9380,5,9380,9390,9355,129358
1713,2017-06-05,9350,30,9360,9365,9330,153293
1712,2017-06-07,9395,45,9355,9395,9355,132451
1711,2017-06-08,9375,20,9395,9425,9375,115142
1708,2017-06-09,9380,5,9385,9405,9350,142630
1707,2017-06-12,9425,45,9400,9430,9395,124657
1706,2017-06-13,9425,0,9440,9450,9425,133661
1705,2017-06-14,9390,35,9430,9430,9390,113434
1704,2017-06-15,9390,0,9370,9405,9355,126559
1700,2017-06-16,9490,100,9440,9520,9425,123699
1699,2017-06-19,9480,10,9490,9490,9435,137298
1698,2017-06-20,9505,25,9510,9515,9495,118878
1697,2017-06-21,9555,50,9535,9575,9530,156947
1696,2017-06-22,9540,15,9545,9555,9530,112029
1693,2017-06-23,9525,15,9535,9555,9520,128795
1692,2017-06-26,9510,15,9500,9510,9475,143249
1691,2017-06-27,9510,0,9500,9525,9480,112983
1690,2017-06-28,9555,45,9550,9560,9530,120680
1689,2017-06-29,9535,20,9540,9550,9520,131749
1685,2017-06-30,9575,40,9585,9595,9545,138547
1684,2017-07-03,9590,15,9560,9610,9555,53848
1683,2017-07-04,9635,45,9625,9635,9595,9079
1682,2017-07-05,9625,10,9635,9635,9595,6250
1681,2017-07-06,9685,60,9640,9685,9620,38835
1678,2017-07-07,9665,20,9685,9685,9650,12226
1677,2017-07-10,9630,35,9650,9650,9605,5654
1676,2017-07-11,9635,5,9625,9635,9610,3580
1675,2017-07-12,9580,55,9620,9620,9580,5625
1674,2017-07-13,9520,60,9530,9540,9510,10017
1670,2017-07-14,9500,20,9505,9525,9490,14347
1669,2017-07-17,9455,45,9465,9465,9435,17811
1668,2017-07-18,9415,40,9455,9460,9405,9104
1667,2017-07-19,9395,20,9410,9410,9375,21658
1666,2017-07-20,9435,40,9420,9435,9400,1587
1663,2017-07-21,9375,60,9390,9415,9370,11277
1662,2017-07-24,9340,35,9375,9375,9325,23457
1661,2017-07-25,9350,10,9355,9375,9340,8061
1660,2017-07-26,9400,50,9370,9405,9365,24160
1659,2017-07-27,9330,70,9320,9335,9310,16537
1655,2017-07-28,9395,65,9345,9395,9345,140945
1654,2017-07-31,9385,10,9420,9420,9380,14588
1653,2017-08-01,9380,5,9380,9385,9340,44648
1652,2017-08-02,9425,45,9390,9430,9390,2989
1651,2017-08-03,9460,35,9410,9460,9410,13452
1648,2017-08-04,9420,40,9445,9450,9410,3066
1647,2017-08-07,9455,35,9445,9465,9435,2758
1646,2017-08-08,9440,15,9420,9440,9415,3095
1645,2017-08-09,9515,75,9505,9520,9485,34441
1644,2017-08-10,9555,40,9550,9580,9530,35089
1640,2017-08-11,9570,15,9605,9615,9570,15944
1639,2017-08-14,9560,10,9540,9560,9515,9641
1638,2017-08-16,9555,5,9520,9565,9505,4769
1637,2017-08-17,9520,35,9515,9540,9510,2088
1636,2017-08-18,9570,50,9555,9575,9550,5900
1633,2017-08-21,9555,15,9540,9555,9525,4045
1632,2017-08-22,9510,45,9540,9540,9510,1442
1631,2017-08-23,9490,20,9490,9490,9460,1593
