,Date,Close,Diff,Open,High,Low,Volume
7474,2015-05-29,10000,5,9995,10015,9995,16349
6244,2015-05-29,10000,5,9995,10015,9995,16349
4279,2015-05-29,10000,5,9995,10015,9995,16349
6259,2015-05-29,10000,5,9995,10015,9995,16349
4264,2015-05-29,10000,5,9995,10015,9995,16349
4249,2015-05-29,10000,5,9995,10015,9995,16349
6274,2015-05-29,10000,5,9995,10015,9995,16349
4234,2015-05-29,10000,5,9995,10015,9995,16349
6289,2015-05-29,10000,5,9995,10015,9995,16349
4219,2015-05-29,10000,5,9995,10015,9995,16349
4204,2015-05-29,10000,5,9995,10015,9995,16349
6304,2015-05-29,10000,5,9995,10015,9995,16349
4189,2015-05-29,10000,5,9995,10015,9995,16349
6319,2015-05-29,10000,5,9995,10015,9995,16349
4174,2015-05-29,10000,5,9995,10015,9995,16349
4159,2015-05-29,10000,5,9995,10015,9995,16349
6334,2015-05-29,10000,5,9995,10015,9995,16349
4144,2015-05-29,10000,5,9995,10015,9995,16349
6349,2015-05-29,10000,5,9995,10015,9995,16349
4129,2015-05-29,10000,5,9995,10015,9995,16349
4114,2015-05-29,10000,5,9995,10015,9995,16349
6364,2015-05-29,10000,5,9995,10015,9995,16349
4294,2015-05-29,10000,5,9995,10015,9995,16349
4309,2015-05-29,10000,5,9995,10015,9995,16349
6229,2015-05-29,10000,5,9995,10015,9995,16349
4324,2015-05-29,10000,5,9995,10015,9995,16349
4519,2015-05-29,10000,5,9995,10015,9995,16349
6094,2015-05-29,10000,5,9995,10015,9995,16349
4504,2015-05-29,10000,5,9995,10015,9995,16349
6109,2015-05-29,10000,5,9995,10015,9995,16349
4489,2015-05-29,10000,5,9995,10015,9995,16349
4474,2015-05-29,10000,5,9995,10015,9995,16349
6124,2015-05-29,10000,5,9995,10015,9995,16349
4459,2015-05-29,10000,5,9995,10015,9995,16349
6139,2015-05-29,10000,5,9995,10015,9995,16349
4444,2015-05-29,10000,5,9995,10015,9995,16349
4099,2015-05-29,10000,5,9995,10015,9995,16349
4429,2015-05-29,10000,5,9995,10015,9995,16349
4414,2015-05-29,10000,5,9995,10015,9995,16349
6169,2015-05-29,10000,5,9995,10015,9995,16349
4399,2015-05-29,10000,5,9995,10015,9995,16349
4384,2015-05-29,10000,5,9995,10015,9995,16349
6184,2015-05-29,10000,5,9995,10015,9995,16349
4369,2015-05-29,10000,5,9995,10015,9995,16349
6199,2015-05-29,10000,5,9995,10015,9995,16349
4354,2015-05-29,10000,5,9995,10015,9995,16349
