,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-10,26730,45,26715,26805,26695,54546
1842,2017-01-11,27240,510,26795,27315,26795,50353
1841,2017-01-12,27325,85,27260,27380,27260,29383
1840,2017-01-13,27235,90,27240,27310,27230,31652
1839,2017-01-16,27080,155,27240,27300,27050,380914
1835,2017-01-17,27190,110,27150,27295,27130,37298
1834,2017-01-18,27180,10,27205,27275,27000,94800
1833,2017-01-19,27220,40,27340,27485,27105,32598
1832,2017-01-20,27145,75,27145,27195,27100,179173
1831,2017-01-23,27155,10,27120,27230,27005,107737
1828,2017-01-24,27155,0,27225,27290,27105,121275
1827,2017-01-25,27260,105,27415,27415,27185,122958
1826,2017-01-26,27490,230,27335,27540,27285,70995
1825,2017-01-31,27340,150,27370,27415,27295,145969
1824,2017-02-01,27420,80,27450,27450,27350,379775
1820,2017-02-02,27280,140,27405,27560,27250,433846
1819,2017-02-03,27315,35,27395,27395,27195,301899
1818,2017-02-06,27375,60,27555,27565,27340,387026
1817,2017-02-07,27320,55,27405,27405,27300,750703
1816,2017-02-08,27210,110,27310,27310,27035,1219072
1813,2017-02-09,27270,60,27245,27325,27160,359974
1812,2017-02-10,27300,30,27380,27435,27300,241173
1811,2017-02-13,27310,10,27240,27335,27240,221192
1810,2017-02-14,27260,50,27395,27395,27175,254633
1809,2017-02-15,27345,85,27245,27375,27180,292452
1805,2017-02-16,27315,30,27390,27455,27290,209943
1804,2017-02-17,27330,15,27210,27345,27210,294118
1803,2017-02-20,27405,75,27365,27410,27305,297600
1802,2017-02-21,27665,260,27455,27780,27440,530495
1801,2017-02-22,27715,50,27685,27755,27675,269692
1798,2017-02-23,27715,0,27710,27745,27675,323607
1797,2017-02-24,27495,220,27710,27745,27470,606602
1796,2017-02-27,27405,90,27535,27535,27340,458547
1795,2017-02-28,27535,130,27440,27535,27385,231527
1794,2017-03-02,27695,160,27650,27780,27585,423615
1790,2017-03-03,27430,265,27580,27595,27360,466387
1789,2017-03-06,27470,40,27310,27480,27285,50201
1788,2017-03-07,27620,150,27505,27665,27455,356876
1787,2017-03-08,27645,25,27585,27725,27545,218493
1786,2017-03-09,27635,10,27695,27710,27590,141051
1783,2017-03-10,27650,15,27570,27705,27455,113935
1782,2017-03-13,27935,285,27700,28015,27685,638873
1781,2017-03-14,28175,240,28045,28200,28045,545355
1780,2017-03-15,28210,35,28165,28250,28145,183784
1779,2017-03-16,28425,215,28555,28580,28380,339286
1775,2017-03-17,28565,140,28455,28595,28425,255493
1774,2017-03-20,28545,20,28535,28545,28440,169707
1773,2017-03-21,28810,265,28700,28880,28585,333300
1772,2017-03-22,28675,135,28620,28690,28565,353685
1771,2017-03-23,28770,95,28780,28860,28720,289515
1768,2017-03-24,28720,50,28775,28855,28635,105306
1767,2017-03-27,28500,220,28610,28640,28475,208489
1766,2017-03-28,28620,120,28625,28660,28545,185000
1765,2017-03-29,28655,35,28770,28770,28580,166970
1764,2017-03-30,28635,20,28710,28790,28605,245240
1760,2017-03-31,28655,20,28675,28695,28560,835371
1759,2017-04-03,28660,5,28670,28735,28600,216704
1758,2017-04-04,28580,80,28660,28700,28540,183706
1757,2017-04-05,28525,55,28610,28640,28360,277825
1756,2017-04-06,28405,120,28450,28450,28310,313440
1753,2017-04-07,28380,25,28490,28490,28270,249578
1752,2017-04-10,28215,165,28395,28395,28160,199050
1751,2017-04-11,28070,145,28195,28235,28010,265507
1750,2017-04-12,28105,35,28115,28135,28055,137874
1749,2017-04-13,28365,260,28170,28380,28110,299525
1745,2017-04-14,28240,125,28280,28335,28085,248895
1744,2017-04-17,28315,75,28285,28415,28265,235395
1743,2017-04-18,28315,0,28455,28455,28235,467428
1742,2017-04-19,28175,140,28270,28315,28105,528952
1741,2017-04-20,28260,85,28115,28290,28070,830493
1738,2017-04-21,28515,255,28400,28570,28370,504563
1737,2017-04-24,28660,145,28675,28690,28590,173207
1736,2017-04-25,28975,315,28685,28985,28685,222917
1735,2017-04-26,29145,170,29065,29200,29060,418509
1734,2017-04-27,28705,60,28675,28745,28600,269571
1730,2017-04-28,28795,90,28790,28900,28735,334328
1729,2017-05-02,29005,210,28915,29175,28915,289458
1728,2017-05-04,29260,255,29155,29275,29100,316597
1727,2017-05-08,30015,755,29380,30015,29315,373112
1726,2017-05-10,29705,310,30015,30555,29670,274576
1723,2017-05-11,30040,335,29805,30120,29795,307714
1722,2017-05-12,29920,120,30025,30095,29890,172525
1721,2017-05-15,30005,85,29985,30075,29890,156893
1720,2017-05-16,30080,75,30200,30265,29930,270949
1719,2017-05-17,30025,55,29990,30100,29915,334814
1715,2017-05-18,29955,70,29800,29970,29695,538374
1714,2017-05-19,29920,35,29950,30000,29890,181447
1713,2017-05-22,30150,230,30145,30165,30005,245015
1712,2017-05-23,30275,125,30250,30485,30190,346123
1711,2017-05-24,30270,5,30345,30380,30245,206057
1708,2017-05-25,30620,350,30450,30650,30350,188048
1707,2017-05-26,30810,190,30680,30970,30630,241920
1706,2017-05-29,30775,35,30960,31040,30625,264910
1705,2017-05-30,30610,165,30775,30800,30425,506579
1704,2017-05-31,30605,5,30535,30725,30505,531268
1700,2017-06-01,30520,85,30590,30625,30445,577241
1699,2017-06-02,30890,370,30655,30925,30575,347510
1698,2017-06-05,30885,5,30970,31005,30840,161319
1697,2017-06-07,30705,180,30835,30855,30705,93756
1696,2017-06-08,30800,95,30805,30855,30585,1853520
1693,2017-06-09,31065,265,30935,31130,30855,118414
1692,2017-06-12,30755,310,30875,30915,30715,364963
1691,2017-06-13,30935,180,30765,30945,30765,59234
1690,2017-06-14,30920,15,31030,31135,30850,399451
1689,2017-06-15,30800,120,30900,30965,30635,229303
1685,2017-06-16,30805,5,30815,30865,30740,28856
1684,2017-06-19,30990,185,30815,31055,30765,66804
1683,2017-06-20,31065,75,31135,31150,31000,61550
1682,2017-06-21,30880,185,30900,30925,30755,324996
1681,2017-06-22,31075,195,30970,31075,30905,62404
1678,2017-06-23,31150,75,31055,31180,31045,27664
1677,2017-06-26,31300,150,31190,31350,31175,53056
1676,2017-06-27,31325,25,31270,31420,31250,1899274
1675,2017-06-28,31250,75,31210,31325,31195,40760
1674,2017-06-29,31450,200,31430,31550,31415,42689
1670,2017-06-30,31390,60,31250,31390,31235,57310
1669,2017-07-03,31400,10,31445,31445,31290,88576
1668,2017-07-04,31245,155,31435,31450,31185,272388
1667,2017-07-05,31340,95,31180,31385,31145,126927
1666,2017-07-06,31365,25,31405,31420,31275,74608
1663,2017-07-07,31215,150,31200,31315,31145,95111
1662,2017-07-10,31310,95,31330,31415,31245,121064
1661,2017-07-11,31525,215,31355,31525,31320,89747
1660,2017-07-12,31495,30,31500,31565,31485,85294
1659,2017-07-13,31890,395,31665,31995,31665,375358
1655,2017-07-14,31905,15,31885,31965,31860,69582
1654,2017-07-17,32030,125,32095,32120,31975,192368
1653,2017-07-18,32015,15,32010,32025,31955,48162
1652,2017-07-19,32055,40,32090,32090,31945,1938786
1651,2017-07-20,32250,195,32140,32260,32075,151164
1648,2017-07-21,32355,105,32190,32365,32190,70186
1647,2017-07-24,32360,5,32370,32395,32270,180713
1646,2017-07-25,32175,185,32360,32370,32175,43903
1645,2017-07-26,32125,50,32215,32260,32055,154835
1644,2017-07-27,32225,100,32220,32300,32130,157887
1640,2017-07-28,31565,660,32155,32155,31550,2293679
1639,2017-07-31,31625,60,31440,31640,31440,165327
1638,2017-08-01,31840,215,31545,32030,31500,67102
1637,2017-08-02,31930,90,31980,32030,31925,1975080
1636,2017-08-03,31390,540,31865,31865,31205,334734
1633,2017-08-04,31540,150,31395,31575,31370,27796
1632,2017-08-07,31565,25,31560,31730,31510,22104
1631,2017-08-08,31505,60,31625,31705,31380,40006
1630,2017-08-09,31120,385,31285,31355,31075,261880
1629,2017-08-10,30970,150,31010,31145,30755,121112
1625,2017-08-11,30445,525,30530,30645,30340,299798
1624,2017-08-14,30685,240,30630,30710,30555,222449
1623,2017-08-16,30860,175,30955,31005,30820,139762
1622,2017-08-17,31045,185,30930,31100,30865,110241
1621,2017-08-18,30980,65,30740,31025,30740,56741
1618,2017-08-21,30940,40,31095,31095,30895,409649
1617,2017-08-22,31095,155,31005,31130,31005,204252
1616,2017-08-23,31100,5,31265,31270,31045,285790
1615,2017-08-24,31225,125,31130,31320,31130,113457
1614,2017-08-25,31260,35,31350,31355,31205,37938
1610,2017-08-28,31090,170,31245,31330,31070,7367
1609,2017-08-29,31030,60,30925,31030,30580,432494
1608,2017-08-30,31120,90,31110,31120,31005,63428
1607,2017-08-31,30990,130,31130,31130,30900,52797
1606,2017-09-01,30915,75,31055,31075,30835,100087
1603,2017-09-04,30590,325,30440,30800,30440,2140547
1602,2017-09-05,30560,30,30725,30725,30500,38905
1601,2017-09-06,30480,80,30545,30545,30410,213209
1600,2017-09-07,30870,390,30590,30900,30590,102261
1599,2017-09-08,30890,20,30915,30935,30835,183724
1595,2017-09-11,31145,255,31095,31280,31040,165320
1594,2017-09-12,31185,40,31280,31280,31135,118811
1593,2017-09-13,31165,20,31225,31375,31130,152054
1592,2017-09-14,31335,170,31270,31335,31150,311314
1591,2017-09-15,31480,145,31325,31495,31250,183909
1588,2017-09-18,32000,520,31550,32025,31550,572721
1587,2017-09-19,31995,5,32065,32075,31965,248469
1586,2017-09-20,31980,15,32050,32190,31880,186218
1585,2017-09-21,31980,0,31995,32060,31895,383460
1584,2017-09-22,31780,200,31950,32065,31735,206724
1580,2017-09-25,31765,15,31830,31845,31730,247027
1579,2017-09-26,31595,170,31665,31735,31555,185365
1578,2017-09-27,31535,60,31640,31640,31525,128000
1577,2017-09-28,31570,35,31575,31670,31490,223642
1576,2017-09-29,31840,270,31615,31840,31615,146305
1573,2017-10-10,32395,555,32315,32565,32280,386078
1572,2017-10-11,32745,350,32540,32745,32530,435581
1571,2017-10-12,32955,210,32790,32970,32775,196160
1570,2017-10-13,32905,50,32930,33010,32875,168341
1569,2017-10-16,32950,45,32980,33095,32915,204722
1565,2017-10-17,33035,85,32975,33060,32955,143436
1564,2017-10-18,33020,15,32975,33090,32925,121287
1563,2017-10-19,32865,155,33105,33105,32830,268024
1562,2017-10-20,33015,150,32850,33040,32850,207381
1561,2017-10-23,33130,115,33190,33190,33040,479116
1558,2017-10-24,33110,20,33120,33170,33090,450335
1557,2017-10-25,33140,30,33120,33175,32970,2071253
1556,2017-10-26,32895,245,33110,33120,32895,176566
1555,2017-10-27,33120,225,32925,33155,32890,126833
