,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-24,12945,110,12905,12945,12905,1048
1842,2017-01-25,12950,5,13050,13050,12910,10029
1841,2017-01-26,12755,85,12970,12970,12750,13947
1840,2017-01-31,12525,230,12695,12695,12485,1123
1839,2017-02-01,12610,85,12570,12615,12550,20056
1835,2017-02-02,12465,145,12460,12470,12450,697
1834,2017-02-03,12600,135,12475,12600,12475,476
1833,2017-02-06,12670,70,12660,12670,12660,28409
1832,2017-02-07,12650,20,12650,12650,12640,25431
1831,2017-02-08,12605,45,12560,12605,12560,97630
1828,2017-02-09,12670,65,12680,12700,12670,10112
1827,2017-02-10,12725,55,12700,12735,12695,102154
1826,2017-02-13,12820,95,12750,12820,12750,410
1825,2017-02-14,12830,10,12840,12840,12780,34434
1824,2017-02-15,12770,60,12770,12770,12760,95
1820,2017-02-16,12690,80,12720,12720,12690,2152
1819,2017-02-17,12770,80,12790,12790,12770,4125
1818,2017-02-20,12815,45,12820,12820,12815,6001
1817,2017-02-21,12825,10,12825,12825,12785,6775
1816,2017-02-22,12965,140,12885,12970,12885,41186
1813,2017-02-23,12940,25,12970,12970,12900,2976
1812,2017-02-24,13005,65,12970,13005,12965,14491
1811,2017-02-27,13070,65,13005,13075,13005,137595
1810,2017-02-28,13145,75,13100,13145,13100,5864
1809,2017-03-02,12975,170,13010,13015,12975,4156
1805,2017-03-03,12940,35,12940,12940,12930,94063
1804,2017-03-06,12895,45,12885,12900,12845,122713
1803,2017-03-07,12825,70,12825,12825,12790,1947
1802,2017-03-08,12765,60,12765,12765,12725,9050
1801,2017-03-09,12545,220,12685,12685,12530,11850
1798,2017-03-10,12350,195,12540,12540,12330,15114
1797,2017-03-13,12320,30,12320,12320,12300,3858
1796,2017-03-14,12330,10,12340,12340,12310,7585
1795,2017-03-15,12330,0,12335,12335,12295,27214
1794,2017-03-16,12610,280,12550,12610,12550,82339
1790,2017-03-17,12570,40,12610,12610,12530,6984
1789,2017-03-20,12625,55,12625,12625,12595,993871
1788,2017-03-21,12605,20,12605,12605,12575,129875
1787,2017-03-22,12555,50,12555,12555,12515,174354
1786,2017-03-23,12565,10,12555,12565,12520,138436
1783,2017-03-24,12645,80,12645,12645,12625,128231
1782,2017-03-27,12620,25,12640,12640,12605,124204
1781,2017-03-28,12510,110,12600,12600,12490,134836
1780,2017-03-29,12570,60,12580,12580,12565,126874
1779,2017-03-30,12575,5,12590,12595,12560,135801
1775,2017-03-31,12690,115,12635,12690,12635,175399
1774,2017-04-03,12740,50,12700,12740,12700,226160
1773,2017-04-04,12760,20,12750,12765,12740,254876
1772,2017-04-05,12770,10,12745,12770,12740,55791
1771,2017-04-06,12785,15,12785,12785,12755,171238
1768,2017-04-07,12850,65,12855,12855,12825,200322
1767,2017-04-10,12865,15,12850,12865,12835,156977
1766,2017-04-11,12945,80,12895,12945,12895,385070
1765,2017-04-12,13030,85,13005,13045,13005,175031
1764,2017-04-13,13020,10,13025,13025,12995,154377
1760,2017-04-14,12965,55,12990,12990,12960,171792
1759,2017-04-17,12995,30,12990,13010,12980,159847
1758,2017-04-18,13100,105,13120,13150,13070,191219
1757,2017-04-19,13170,70,13185,13185,13150,157925
