,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-11,1914000,52000,1876000,1928000,1871000,240363
1842,2017-01-12,1940000,26000,1900000,1940000,1899000,233383
1841,2017-01-13,1873000,67000,1905000,1916000,1873000,319089
1840,2017-01-16,1833000,40000,1843000,1891000,1816000,332230
1839,2017-01-17,1848000,15000,1829000,1873000,1829000,163014
1835,2017-01-18,1847000,1000,1852000,1875000,1831000,177508
1834,2017-01-19,1874000,27000,1886000,1896000,1851000,188378
1833,2017-01-20,1860000,14000,1856000,1871000,1844000,183700
1832,2017-01-23,1903000,43000,1860000,1903000,1850000,176208
1831,2017-01-24,1908000,5000,1906000,1929000,1894000,220975
1828,2017-01-25,1970000,62000,1917000,1970000,1916000,268677
1827,2017-01-26,1995000,25000,1971000,2000000,1971000,304290
1826,2017-01-31,1973000,22000,1995000,1995000,1973000,359844
1825,2017-02-01,1956000,17000,1977000,1983000,1952000,283008
1824,2017-02-02,1968000,12000,1980000,1983000,1960000,300586
1820,2017-02-03,1973000,5000,1970000,1975000,1959000,207727
1819,2017-02-06,1978000,5000,1979000,1983000,1957000,177214
1818,2017-02-07,1941000,37000,1978000,1979000,1938000,280836
1817,2017-02-08,1920000,21000,1937000,1939000,1910000,341859
1816,2017-02-09,1920000,0,1939000,1942000,1911000,273883
1813,2017-02-10,1918000,2000,1920000,1938000,1915000,220415
1812,2017-02-13,1898000,20000,1887000,1903000,1886000,222041
1811,2017-02-14,1879000,19000,1898000,1913000,1866000,262483
1810,2017-02-15,1886000,7000,1854000,1898000,1854000,283831
1809,2017-02-16,1901000,15000,1890000,1918000,1889000,204527
1805,2017-02-17,1893000,8000,1878000,1902000,1864000,307549
1804,2017-02-20,1933000,40000,1911000,1939000,1908000,149716
1803,2017-02-21,1947000,14000,1927000,1978000,1921000,211252
1802,2017-02-22,1965000,18000,1950000,1967000,1949000,170789
1801,2017-02-23,1959000,6000,1951000,1972000,1951000,204346
1798,2017-02-24,1911000,48000,1948000,1955000,1903000,185937
1797,2017-02-27,1903000,8000,1901000,1907000,1885000,180674
1796,2017-02-28,1922000,19000,1903000,1938000,1898000,301774
1795,2017-03-02,1986000,64000,1921000,1993000,1921000,424996
1794,2017-03-03,1981000,5000,1967000,1986000,1958000,254174
1790,2017-03-06,2004000,23000,1961000,2011000,1961000,244697
1789,2017-03-07,2010000,6000,1990000,2016000,1990000,211065
1788,2017-03-08,2010000,0,2010000,2031000,2007000,242819
1787,2017-03-09,2010000,0,2010000,2015000,2001000,287445
1786,2017-03-10,2009000,1000,1998000,2021000,1993000,204556
1783,2017-03-13,2030000,21000,2002000,2049000,2002000,148482
1782,2017-03-14,2068000,38000,2031000,2077000,2025000,226501
1781,2017-03-15,2070000,2000,2040000,2072000,2040000,191757
1780,2017-03-16,2092000,22000,2090000,2109000,2077000,198663
1779,2017-03-17,2120000,28000,2090000,2125000,2086000,252046
1775,2017-03-20,2095000,25000,2100000,2106000,2087000,205001
1774,2017-03-21,2128000,33000,2089000,2134000,2088000,284403
1773,2017-03-22,2123000,5000,2080000,2123000,2079000,328545
1772,2017-03-23,2090000,33000,2110000,2118000,2085000,307942
1771,2017-03-24,2075000,15000,2080000,2099000,2054000,256163
1768,2017-03-27,2060000,15000,2060000,2094000,2059000,243553
1767,2017-03-28,2074000,14000,2078000,2092000,2069000,164325
1766,2017-03-29,2089000,15000,2087000,2098000,2079000,201865
1765,2017-03-30,2099000,10000,2094000,2122000,2094000,164080
1764,2017-03-31,2060000,39000,2091000,2101000,2060000,210006
1760,2017-04-03,2072000,12000,2070000,2086000,2065000,191588
1759,2017-04-04,2104000,32000,2080000,2109000,2076000,245110
1758,2017-04-05,2107000,3000,2095000,2112000,2085000,213994
1757,2017-04-06,2092000,15000,2100000,2104000,2080000,193668
1756,2017-04-07,2080000,12000,2090000,2091000,2058000,200420
1753,2017-04-10,2097000,17000,2097000,2097000,2075000,142827
1752,2017-04-11,2080000,17000,2097000,2097000,2079000,143458
1751,2017-04-12,2095000,15000,2093000,2097000,2085000,165498
1750,2017-04-13,2121000,26000,2083000,2123000,2083000,180816
1749,2017-04-14,2101000,20000,2108000,2113000,2088000,109257
1745,2017-04-17,2078000,23000,2100000,2104000,2076000,104495
1744,2017-04-18,2075000,3000,2084000,2091000,2064000,137213
1743,2017-04-19,2045000,30000,2065000,2071000,2045000,235258
1742,2017-04-20,2014000,31000,2029000,2040000,2004000,422977
1741,2017-04-21,2038000,24000,2024000,2070000,2024000,302610
1738,2017-04-24,2062000,24000,2063000,2063000,2046000,179803
1737,2017-04-25,2135000,73000,2073000,2137000,2066000,385992
1736,2017-04-26,2140000,5000,2135000,2140000,2126000,295896
1735,2017-04-27,2192000,52000,2135000,2226000,2098000,460645
1734,2017-04-28,2231000,39000,2289000,2290000,2226000,453714
1730,2017-05-02,2245000,14000,2275000,2275000,2238000,281366
1729,2017-05-04,2276000,31000,2285000,2285000,2243000,273802
1728,2017-05-08,2351000,75000,2276000,2351000,2267000,391651
1727,2017-05-10,2280000,71000,2308000,2361000,2280000,468219
1726,2017-05-11,2275000,5000,2271000,2309000,2261000,425557
1723,2017-05-12,2291000,16000,2288000,2308000,2283000,188458
1722,2017-05-15,2305000,14000,2281000,2314000,2281000,160028
1721,2017-05-16,2319000,14000,2333000,2340000,2305000,176075
