,Date,Close,Diff,Open,High,Low,Volume
1839,2018-08-30,9985,15,10005,10010,9970,10649
1764,2018-08-30,9985,15,10005,10010,9970,10649
1434,2018-08-30,9985,15,10005,10010,9970,10649
1749,2018-08-30,9985,15,10005,10010,9970,10649
1464,2018-08-30,9985,15,10005,10010,9970,10649
1479,2018-08-30,9985,15,10005,10010,9970,10649
1494,2018-08-30,9985,15,10005,10010,9970,10649
1734,2018-08-30,9985,15,10005,10010,9970,10649
1509,2018-08-30,9985,15,10005,10010,9970,10649
1524,2018-08-30,9985,15,10005,10010,9970,10649
1719,2018-08-30,9985,15,10005,10010,9970,10649
1539,2018-08-30,9985,15,10005,10010,9970,10649
1554,2018-08-30,9985,15,10005,10010,9970,10649
1569,2018-08-30,9985,15,10005,10010,9970,10649
1704,2018-08-30,9985,15,10005,10010,9970,10649
1584,2018-08-30,9985,15,10005,10010,9970,10649
1599,2018-08-30,9985,15,10005,10010,9970,10649
1689,2018-08-30,9985,15,10005,10010,9970,10649
1614,2018-08-30,9985,15,10005,10010,9970,10649
1629,2018-08-30,9985,15,10005,10010,9970,10649
1644,2018-08-30,9985,15,10005,10010,9970,10649
1674,2018-08-30,9985,15,10005,10010,9970,10649
1419,2018-08-30,9985,15,10005,10010,9970,10649
1404,2018-08-30,9985,15,10005,10010,9970,10649
1449,2018-08-30,9985,15,10005,10010,9970,10649
1659,2018-08-30,9985,15,10005,10010,9970,10649
1794,2018-08-30,9985,15,10005,10010,9970,10649
1809,2018-08-30,9985,15,10005,10010,9970,10649
1329,2018-08-30,9985,15,10005,10010,9970,10649
1359,2018-08-30,9985,15,10005,10010,9970,10649
1824,2018-08-30,9985,15,10005,10010,9970,10649
1344,2018-08-30,9985,15,10005,10010,9970,10649
1269,2018-08-30,9985,15,10005,10010,9970,10649
1299,2018-08-30,9985,15,10005,10010,9970,10649
1389,2018-08-30,9985,15,10005,10010,9970,10649
1374,2018-08-30,9985,15,10005,10010,9970,10649
1254,2018-08-30,9985,15,10005,10010,9970,10649
1314,2018-08-30,9985,15,10005,10010,9970,10649
1779,2018-08-30,9985,15,10005,10010,9970,10649
1284,2018-08-30,9985,15,10005,10010,9970,10649
1580,2018-08-31,10050,65,10060,10060,10040,5500
1295,2018-08-31,10050,65,10060,10060,10040,5500
1280,2018-08-31,10050,65,10060,10060,10040,5500
1610,2018-08-31,10050,65,10060,10060,10040,5500
1625,2018-08-31,10050,65,10060,10060,10040,5500
1265,2018-08-31,10050,65,10060,10060,10040,5500
1640,2018-08-31,10050,65,10060,10060,10040,5500
1250,2018-08-31,10050,65,10060,10060,10040,5500
1595,2018-08-31,10050,65,10060,10060,10040,5500
1565,2018-08-31,10050,65,10060,10060,10040,5500
1400,2018-08-31,10050,65,10060,10060,10040,5500
1550,2018-08-31,10050,65,10060,10060,10040,5500
1415,2018-08-31,10050,65,10060,10060,10040,5500
1385,2018-08-31,10050,65,10060,10060,10040,5500
1430,2018-08-31,10050,65,10060,10060,10040,5500
1370,2018-08-31,10050,65,10060,10060,10040,5500
1445,2018-08-31,10050,65,10060,10060,10040,5500
1655,2018-08-31,10050,65,10060,10060,10040,5500
