,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-18,9250,30,9240,9275,9235,166172
1842,2017-01-19,9165,85,9220,9220,9125,152523
1841,2017-01-20,9205,40,9150,9205,9135,94316
1840,2017-01-23,9280,75,9230,9285,9225,107561
1839,2017-01-24,9270,10,9290,9300,9240,136901
1835,2017-01-25,9150,120,9220,9220,9150,90964
1834,2017-01-26,9090,60,9115,9140,9080,201644
1833,2017-01-31,9170,80,9090,9170,9070,144238
1832,2017-02-01,9180,10,9215,9230,9175,147857
1831,2017-02-02,9260,80,9165,9260,9165,152077
1828,2017-02-03,9260,0,9295,9295,9210,129551
1827,2017-02-06,9325,65,9285,9330,9260,118957
1826,2017-02-07,9380,55,9350,9410,9340,160606
1825,2017-02-08,9400,20,9395,9410,9335,122978
1824,2017-02-09,9450,50,9415,9450,9400,174655
1820,2017-02-10,9320,130,9340,9345,9275,297011
1819,2017-02-13,9370,50,9325,9375,9315,81635
1818,2017-02-14,9335,35,9330,9350,9305,92561
1817,2017-02-15,9305,30,9330,9330,9300,131097
1816,2017-02-16,9385,80,9335,9395,9335,97219
1813,2017-02-17,9385,0,9425,9430,9385,108210
1812,2017-02-20,9380,5,9385,9400,9355,89725
1811,2017-02-21,9385,5,9400,9420,9340,86331
1810,2017-02-22,9365,20,9400,9410,9360,56299
1809,2017-02-23,9395,30,9380,9405,9375,54675
1805,2017-02-24,9500,105,9470,9500,9445,308782
1804,2017-02-27,9550,50,9515,9555,9515,134282
1803,2017-02-28,9510,40,9505,9530,9495,129981
1802,2017-03-02,9460,50,9480,9480,9435,104186
1801,2017-03-03,9345,115,9365,9400,9330,111277
1798,2017-03-06,9335,10,9375,9385,9330,165348
1797,2017-03-07,9295,40,9340,9345,9285,46670
1796,2017-03-08,9245,50,9205,9250,9200,50831
1795,2017-03-09,9150,95,9185,9185,9140,81699
1794,2017-03-10,9115,35,9120,9130,9100,104503
1790,2017-03-13,9185,70,9150,9185,9145,150040
1789,2017-03-14,9145,40,9140,9165,9140,88768
1788,2017-03-15,9155,10,9140,9200,9110,115124
1787,2017-03-16,9310,155,9265,9320,9250,92006
1786,2017-03-17,9345,35,9315,9345,9295,78660
1783,2017-03-20,9380,35,9340,9395,9340,89569
1782,2017-03-21,9330,50,9380,9385,9290,123092
1781,2017-03-22,9420,90,9435,9445,9410,212604
1780,2017-03-23,9445,25,9415,9475,9415,74309
1779,2017-03-24,9430,15,9440,9455,9410,35660
1775,2017-03-27,9560,130,9480,9560,9480,188671
1774,2017-03-28,9490,70,9530,9530,9480,101379
1773,2017-03-29,9465,25,9470,9475,9430,89121
1772,2017-03-30,9470,5,9460,9500,9450,42426
1771,2017-03-31,9390,80,9395,9445,9380,72485
1768,2017-04-03,9435,45,9450,9460,9425,45487
1767,2017-04-04,9530,95,9490,9535,9485,139824
1766,2017-04-05,9525,5,9500,9530,9480,171300
1765,2017-04-06,9475,50,9510,9530,9475,68265
1764,2017-04-07,9565,90,9470,9610,9465,139315
1760,2017-04-10,9500,65,9575,9575,9465,134166
1759,2017-04-11,9530,30,9495,9530,9485,47309
1758,2017-04-12,9645,115,9670,9690,9640,278624
1757,2017-04-13,9735,90,9710,9755,9705,214898
1756,2017-04-14,9700,35,9735,9760,9695,165417
1753,2017-04-17,9770,70,9795,9810,9735,255768
1752,2017-04-18,9715,55,9650,9745,9645,272609
1751,2017-04-19,9735,20,9735,9760,9705,182057
1750,2017-04-20,9700,35,9680,9715,9665,138674
1749,2017-04-21,9695,5,9685,9715,9670,122023
1745,2017-04-24,9625,70,9660,9670,9625,56821
1744,2017-04-25,9620,5,9655,9670,9620,76577
1743,2017-04-26,9570,50,9550,9590,9535,129571
1742,2017-04-27,9585,15,9650,9650,9555,44136
1741,2017-04-28,9620,35,9600,9620,9555,61627
1738,2017-05-02,9500,120,9535,9540,9495,115988
1737,2017-05-04,9370,130,9390,9410,9355,69905
1736,2017-05-08,9315,55,9350,9355,9300,74236
1735,2017-05-10,9275,40,9315,9315,9275,58764
1734,2017-05-11,9275,0,9240,9275,9235,60124
1730,2017-05-12,9315,40,9290,9315,9265,68835
1729,2017-05-15,9345,30,9350,9350,9290,65877
1728,2017-05-16,9365,20,9320,9365,9310,65269
1727,2017-05-17,9425,60,9405,9425,9385,37774
1726,2017-05-18,9520,95,9520,9550,9505,79323
1723,2017-05-19,9475,45,9470,9480,9435,37816
1722,2017-05-22,9500,25,9495,9530,9470,45781
1721,2017-05-23,9530,30,9540,9555,9530,81432
1720,2017-05-24,9470,60,9485,9490,9455,35009
1719,2017-05-25,9505,35,9505,9525,9490,76807
1715,2017-05-26,9485,20,9510,9510,9450,58441
1714,2017-05-29,9585,100,9575,9595,9560,67760
1713,2017-05-30,9595,10,9585,9605,9555,45358
1712,2017-05-31,9565,30,9590,9590,9510,23955
1711,2017-06-01,9595,30,9600,9615,9565,28986
1708,2017-06-02,9510,85,9540,9585,9505,43230
