,Date,Close,Diff,Open,High,Low,Volume
7479,2019-08-20,99230,365,99795,99950,99230,39
1329,2019-08-20,99230,365,99795,99950,99230,39
4899,2019-08-20,99230,365,99795,99950,99230,39
1344,2019-08-20,99230,365,99795,99950,99230,39
4884,2019-08-20,99230,365,99795,99950,99230,39
1359,2019-08-20,99230,365,99795,99950,99230,39
4869,2019-08-20,99230,365,99795,99950,99230,39
1374,2019-08-20,99230,365,99795,99950,99230,39
1389,2019-08-20,99230,365,99795,99950,99230,39
1314,2019-08-20,99230,365,99795,99950,99230,39
4854,2019-08-20,99230,365,99795,99950,99230,39
4839,2019-08-20,99230,365,99795,99950,99230,39
1419,2019-08-20,99230,365,99795,99950,99230,39
4824,2019-08-20,99230,365,99795,99950,99230,39
1434,2019-08-20,99230,365,99795,99950,99230,39
1449,2019-08-20,99230,365,99795,99950,99230,39
4809,2019-08-20,99230,365,99795,99950,99230,39
1464,2019-08-20,99230,365,99795,99950,99230,39
4794,2019-08-20,99230,365,99795,99950,99230,39
1404,2019-08-20,99230,365,99795,99950,99230,39
1479,2019-08-20,99230,365,99795,99950,99230,39
4914,2019-08-20,99230,365,99795,99950,99230,39
4929,2019-08-20,99230,365,99795,99950,99230,39
1134,2019-08-20,99230,365,99795,99950,99230,39
1149,2019-08-20,99230,365,99795,99950,99230,39
5034,2019-08-20,99230,365,99795,99950,99230,39
1164,2019-08-20,99230,365,99795,99950,99230,39
5019,2019-08-20,99230,365,99795,99950,99230,39
1179,2019-08-20,99230,365,99795,99950,99230,39
5004,2019-08-20,99230,365,99795,99950,99230,39
1194,2019-08-20,99230,365,99795,99950,99230,39
1299,2019-08-20,99230,365,99795,99950,99230,39
1209,2019-08-20,99230,365,99795,99950,99230,39
1224,2019-08-20,99230,365,99795,99950,99230,39
4974,2019-08-20,99230,365,99795,99950,99230,39
1239,2019-08-20,99230,365,99795,99950,99230,39
4959,2019-08-20,99230,365,99795,99950,99230,39
1254,2019-08-20,99230,365,99795,99950,99230,39
1269,2019-08-20,99230,365,99795,99950,99230,39
4944,2019-08-20,99230,365,99795,99950,99230,39
1284,2019-08-20,99230,365,99795,99950,99230,39
4989,2019-08-20,99230,365,99795,99950,99230,39
5049,2019-08-20,99230,365,99795,99950,99230,39
