,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-23,11010,55,11000,11020,10985,162634
1842,2017-01-24,10950,60,10990,10990,10905,159549
1841,2017-01-25,11005,55,11015,11030,10960,162766
1840,2017-01-26,11050,45,11065,11075,11010,161877
1839,2017-01-31,10990,60,11025,11055,10955,190098
1835,2017-02-01,10890,100,10895,10900,10835,1090031
1834,2017-02-02,10845,45,10925,10925,10820,170637
1833,2017-02-03,10855,10,10865,10865,10805,191531
1832,2017-02-06,10815,40,10865,10865,10775,245166
1831,2017-02-07,10835,20,10800,10840,10760,189485
1828,2017-02-08,10850,15,10845,10855,10820,174434
1827,2017-02-09,10875,25,10905,10905,10825,152304
1826,2017-02-10,10955,80,10935,10980,10935,161616
1825,2017-02-13,11035,80,11025,11040,11000,164440
1824,2017-02-14,10945,90,11070,11070,10935,161023
1820,2017-02-15,10995,50,10985,11020,10950,145149
1819,2017-02-16,11075,80,11000,11075,10995,173746
1818,2017-02-17,11105,30,11095,11110,11075,159848
1817,2017-02-20,11105,0,11105,11130,11080,169361
1816,2017-02-21,11110,5,11085,11120,11085,120822
1813,2017-02-22,11105,5,11105,11110,11055,162256
1812,2017-02-23,11070,35,11100,11100,11040,147373
1811,2017-02-24,11010,60,11070,11070,10955,156164
1810,2017-02-27,10985,25,11005,11005,10950,152602
1809,2017-02-28,10955,30,10985,11010,10930,178616
1805,2017-03-02,11175,220,11055,11205,11055,193318
1804,2017-03-03,11275,100,11175,11275,11175,175825
1803,2017-03-06,11290,15,11280,11300,11250,139649
1802,2017-03-07,11190,100,11295,11295,11190,172744
1801,2017-03-08,11130,60,11150,11170,11105,193946
1798,2017-03-09,11200,70,11145,11200,11135,179984
1797,2017-03-10,11240,40,11210,11265,11205,135544
1796,2017-03-13,11180,60,11205,11245,11180,147733
1795,2017-03-14,11225,45,11180,11240,11180,193917
1794,2017-03-15,11115,110,11200,11210,11100,149179
1790,2017-03-16,11125,10,11105,11130,11075,485145
1789,2017-03-17,11180,55,11160,11195,11135,195926
1788,2017-03-20,11030,150,11140,11140,11000,144077
1787,2017-03-21,11005,25,11010,11010,10935,157872
1786,2017-03-22,10925,80,10955,10955,10900,148709
1783,2017-03-23,10865,60,10905,10905,10825,155037
1782,2017-03-24,10935,70,10915,10950,10900,156051
1781,2017-03-27,10855,80,10920,10920,10850,164823
1780,2017-03-28,10860,5,10855,10860,10830,154475
1779,2017-03-29,10920,60,10965,10970,10890,182891
1775,2017-03-30,10930,10,10920,10930,10860,225200
1774,2017-03-31,10960,30,10980,10985,10945,170823
1773,2017-04-03,10900,60,10930,10930,10845,370680
1772,2017-04-04,10960,60,10920,10960,10895,372357
1771,2017-04-05,10970,10,11010,11010,10935,1484698
1768,2017-04-06,11045,75,10985,11050,10970,721903
