,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-10,26795,30,26550,26825,26550,99840
1842,2017-01-11,27300,505,26950,27355,26950,133275
1841,2017-01-12,27340,40,27300,27385,27275,64123
1840,2017-01-13,27275,65,27310,27325,27255,51700
1839,2017-01-16,27120,155,27345,27345,27040,43554
1835,2017-01-17,27215,95,26990,27315,26990,160055
1834,2017-01-18,27215,0,27080,27280,27030,70930
1833,2017-01-19,27225,10,27215,27470,27100,29519
1832,2017-01-20,27170,55,26995,27200,26995,82547
1831,2017-01-23,27170,0,26980,27245,26980,62765
1828,2017-01-24,27180,10,27020,27290,27020,68785
1827,2017-01-25,27260,80,27335,27355,27170,72333
1826,2017-01-26,27470,210,27260,27555,27260,47907
1825,2017-01-31,27390,80,27260,27425,27260,64010
1824,2017-02-01,27460,70,27430,27460,27370,101537
1820,2017-02-02,27320,140,27245,27565,27245,81753
1819,2017-02-03,27375,55,27240,27410,27220,37765
1818,2017-02-06,27415,40,27575,27575,27345,81449
1817,2017-02-07,27365,50,27440,27440,27315,797929
1816,2017-02-08,27245,120,27280,27280,27050,1239114
1813,2017-02-09,27280,35,27135,27350,27135,71220
1812,2017-02-10,27340,60,27400,27460,27325,102299
1811,2017-02-13,27350,10,27320,27350,27285,66591
1810,2017-02-14,27265,85,27485,27485,27195,483719
1809,2017-02-15,27370,105,27145,27390,27145,8747
1805,2017-02-16,27345,25,27240,27470,27240,56683
1804,2017-02-17,27340,5,27255,27370,27255,31699
1803,2017-02-20,27435,95,27485,27485,27320,123419
1802,2017-02-21,27685,250,27545,27790,27435,102188
1801,2017-02-22,27730,45,27710,27750,27685,203648
1798,2017-02-23,27755,25,27805,27805,27675,137634
1797,2017-02-24,27520,235,27725,27740,27485,331976
1796,2017-02-27,27435,85,27525,27525,27360,102399
1795,2017-02-28,27580,145,27460,27580,27410,124687
1794,2017-03-02,27730,150,27695,27805,27620,102114
1790,2017-03-03,27465,265,27475,27615,27380,351826
1789,2017-03-06,27500,35,27210,27505,27205,224381
1788,2017-03-07,27655,155,27490,27700,27490,130707
1787,2017-03-08,27695,40,27610,27765,27580,137131
1786,2017-03-09,27635,60,27690,27750,27615,221320
1783,2017-03-10,27680,45,27670,27740,27475,120190
1782,2017-03-13,27995,315,27535,28055,27535,420069
1781,2017-03-14,28210,215,28100,28230,28075,208918
1780,2017-03-15,28290,80,28195,28290,28180,92523
1779,2017-03-16,28480,190,28600,28620,28425,219380
1775,2017-03-17,28605,125,28460,28635,28460,257029
1774,2017-03-20,28565,40,28560,28565,28460,40555
1773,2017-03-21,28830,265,28470,28905,28470,167562
1772,2017-03-22,28755,75,28645,28755,28580,95879
1771,2017-03-23,28765,10,28935,28935,28750,22464
1768,2017-03-24,28750,15,28855,28880,28660,50299
1767,2017-03-27,28545,205,28565,28665,28500,43449
1766,2017-03-28,28635,90,28680,28715,28575,37040
1765,2017-03-29,28705,70,28735,28735,28620,259022
1764,2017-03-30,28700,5,28820,28840,28640,46526
1760,2017-03-31,28660,40,28700,28730,28610,74430
1759,2017-04-03,28725,65,28760,28775,28645,35926
1758,2017-04-04,28620,105,28725,28725,28500,24859
1757,2017-04-05,28565,55,28700,28700,28415,42486
1756,2017-04-06,28450,115,28505,28505,28345,41675
1753,2017-04-07,28410,40,28520,28520,28310,119694
1752,2017-04-10,28240,170,28380,28425,28205,116750
1751,2017-04-11,28110,130,28205,28260,28045,136849
1750,2017-04-12,28125,15,28150,28155,28070,224472
1749,2017-04-13,28425,300,28205,28425,28125,59263
1745,2017-04-14,28280,145,28340,28355,28130,47428
1744,2017-04-17,28370,90,28350,28445,28290,156598
1743,2017-04-18,28350,20,28475,28475,28260,61984
1742,2017-04-19,28215,135,28270,28300,28125,44334
1741,2017-04-20,28315,100,28165,28325,28100,125644
1738,2017-04-21,28565,250,28425,28605,28405,302680
1737,2017-04-24,28695,130,28540,28740,28540,72070
1736,2017-04-25,29010,315,28725,29020,28720,200715
1735,2017-04-26,29195,185,29095,29225,29085,238059
1734,2017-04-27,28740,55,28770,28770,28625,326634
1730,2017-04-28,28870,130,28810,28995,28750,631372
1729,2017-05-02,29020,150,28870,29155,28750,278540
1728,2017-05-04,29305,285,29220,29305,29120,54660
1727,2017-05-08,30120,815,29435,30120,29350,378177
1726,2017-05-10,29765,355,30120,30580,29635,244982
1723,2017-05-11,30120,355,29915,30205,29800,173731
1722,2017-05-12,30035,85,29975,30210,29975,57803
1721,2017-05-15,30115,80,30120,30195,29970,48572
1720,2017-05-16,30160,45,30255,30360,30020,241379
1719,2017-05-17,30130,30,30010,30180,30010,78543
1715,2017-05-18,30070,60,29675,30070,29675,235793
1714,2017-05-19,30050,20,30000,30050,29985,203109
1713,2017-05-22,30240,190,30175,30270,30095,183636
1712,2017-05-23,30355,115,30350,30580,30250,291775
1711,2017-05-24,30375,20,30435,30495,30340,71282
1708,2017-05-25,30740,365,30590,30755,30455,124733
1707,2017-05-26,30925,185,30565,31065,30565,212156
1706,2017-05-29,30900,25,30845,31140,30740,52537
1705,2017-05-30,30705,195,30855,30915,30550,249987
1704,2017-05-31,30720,15,30610,30845,30590,100582
1700,2017-06-01,30625,95,30695,30720,30535,25603
1699,2017-06-02,31000,375,30510,31025,30510,45822
1698,2017-06-05,30955,45,31025,31070,30910,50201
1697,2017-06-07,30770,185,30705,30960,30705,267077
1696,2017-06-08,30885,115,30870,30895,30620,93654
1693,2017-06-09,31135,250,30695,31195,30695,11981
1692,2017-06-12,30830,305,30965,31025,30795,184043
1691,2017-06-13,31015,185,30830,31030,30830,66529
1690,2017-06-14,31010,5,31105,31205,30920,21418
1689,2017-06-15,30880,130,30985,31080,30710,79645
1685,2017-06-16,30885,5,30900,30930,30815,87921
1684,2017-06-19,31055,170,30885,31120,30835,14873
1683,2017-06-20,31135,80,31125,31220,31070,402695
1682,2017-06-21,30950,185,30940,31000,30830,177991
1681,2017-06-22,31155,205,30975,31155,30945,371063
1678,2017-06-23,31230,75,31140,31260,31090,27760
1677,2017-06-26,31395,165,31245,31415,31245,31256
1676,2017-06-27,31390,5,31345,31485,31335,51556
1675,2017-06-28,31320,70,31275,31395,31260,83273
1674,2017-06-29,31520,200,31180,31615,31180,54247
1670,2017-06-30,31455,65,31210,31455,31210,188334
1669,2017-07-03,31480,25,31525,31525,31355,10992
1668,2017-07-04,31305,175,31285,31520,31260,136836
1667,2017-07-05,31415,110,31225,31425,31210,100970
1666,2017-07-06,31420,5,31470,31485,31335,6231
1663,2017-07-07,31320,100,31285,31385,31215,40188
1662,2017-07-10,31410,90,31410,31490,31325,32030
1661,2017-07-11,31580,170,31215,31595,31215,26028
1660,2017-07-12,31590,10,31580,31625,31575,24960
1659,2017-07-13,31930,340,31800,32075,31755,67579
1655,2017-07-14,31985,55,31960,32045,31945,54888
1654,2017-07-17,32105,120,32155,32205,32050,72250
1653,2017-07-18,32105,0,31880,32105,31880,10237
1652,2017-07-19,32155,50,32145,32155,32030,22179
1651,2017-07-20,32305,150,32195,32330,32155,58884
1648,2017-07-21,32435,130,32065,32445,32065,40764
1647,2017-07-24,32445,10,32405,32445,32360,1341
1646,2017-07-25,32285,160,32225,32450,32225,128928
1645,2017-07-26,32210,75,32315,32330,32140,36806
1644,2017-07-27,32315,105,32295,32330,32235,1853143
1640,2017-07-28,31695,620,32185,32190,31675,274731
