,Date,Close,Diff,Open,High,Low,Volume
1843,2017-01-10,10650,90,10740,10755,10650,12063
1842,2017-01-11,10710,60,10735,10755,10670,927
1841,2017-01-12,10760,50,10740,10765,10690,135138
1840,2017-01-13,10735,25,10675,10745,10675,1010
1839,2017-01-16,10785,50,10845,10845,10720,4508
1835,2017-01-17,10705,80,10720,10720,10600,101357
1834,2017-01-18,10635,70,10665,10690,10615,2045
1833,2017-01-19,10715,80,10715,10715,10660,275
1832,2017-01-20,10655,60,10660,10695,10655,1926
1831,2017-01-23,10695,40,10730,10730,10645,1111
1828,2017-01-24,10615,80,10650,10685,10615,4343
1827,2017-01-25,10670,55,10675,10740,10670,66220
1826,2017-01-26,10760,90,10830,10830,10750,1778
1825,2017-01-31,10570,190,10775,10775,10210,3603
1824,2017-02-01,10550,20,10510,10550,10470,75725
1820,2017-02-02,10560,10,10605,10605,10555,5556
1819,2017-02-03,10595,35,10560,10600,10560,142391
1818,2017-02-06,10580,15,10600,10650,10565,750
1817,2017-02-07,10540,40,10545,10545,10470,1920
1816,2017-02-08,10485,55,10510,10545,10485,2143
1813,2017-02-09,10555,70,10520,10555,10495,424
1812,2017-02-10,10610,55,10650,10665,10605,3158
1811,2017-02-13,10665,55,10625,10670,10610,3615
1810,2017-02-14,10670,5,10740,10760,10670,661
1809,2017-02-15,10795,125,10770,10795,10730,2565
1805,2017-02-16,10860,65,10820,10860,10800,194792
1804,2017-02-17,10800,60,10780,10800,10755,750
1803,2017-02-20,10810,10,10770,10810,10750,3131
1802,2017-02-21,10750,60,10760,10795,10750,1558
1801,2017-02-22,10810,60,10870,10870,10800,2445
1798,2017-02-23,10785,25,10870,10870,10760,4872
1797,2017-02-24,10780,5,10785,10840,10780,2965
1796,2017-02-27,10760,20,10730,10775,10710,865
1795,2017-02-28,10715,45,10770,10790,10715,1051
1794,2017-03-02,10925,210,10975,11045,10925,103833
1790,2017-03-03,10980,55,10925,10990,10925,191716
1789,2017-03-06,10950,30,10870,11050,10870,1926
1788,2017-03-07,11010,60,11000,11025,10940,50795
1787,2017-03-08,10900,110,10995,11015,10900,3652
1786,2017-03-09,10920,20,11005,11005,10920,47785
1783,2017-03-10,11080,160,11095,11095,11045,6170
1782,2017-03-13,11060,20,11100,11100,11060,5479
1781,2017-03-14,11120,60,11115,11120,11050,5220
1780,2017-03-15,11005,115,11060,11060,11000,2301
1779,2017-03-16,11130,125,11090,11165,11070,181546
1775,2017-03-17,11180,50,11130,11185,11095,26137
1774,2017-03-20,11190,10,11220,11220,11120,3654
1773,2017-03-21,11180,10,11185,11185,11090,42750
1772,2017-03-22,11035,145,11140,11160,10885,861
1771,2017-03-23,11145,110,11110,11155,11100,1630
1768,2017-03-24,11170,25,11210,11235,11165,1813
1767,2017-03-27,10995,175,10950,11125,10950,4063
1766,2017-03-28,11190,195,11185,11200,11135,889
1765,2017-03-29,11250,60,11265,11265,11220,2139
1764,2017-03-30,11295,45,11295,11295,11265,1425
1760,2017-03-31,11305,10,11325,11325,11210,16183
1759,2017-04-03,11400,95,11400,11400,11330,7046
1758,2017-04-04,11270,130,11400,11400,11270,2742
1757,2017-04-05,11300,30,11340,11340,11265,74793
1756,2017-04-06,11130,170,11310,11310,11130,55613
1753,2017-04-07,11315,185,11360,11360,11230,3135
1752,2017-04-10,11315,0,11380,11380,11315,1638
1751,2017-04-11,11245,70,11335,11335,11240,3791
1750,2017-04-12,11270,25,11300,11300,11265,2080
1749,2017-04-13,11170,100,11295,11295,11170,30888
1745,2017-04-14,11220,50,11205,11225,11125,4324
1744,2017-04-17,11205,15,11220,11225,11195,680
1743,2017-04-18,11190,15,11120,11220,11120,498
1742,2017-04-19,11075,115,11190,11190,11065,4374
1741,2017-04-20,11030,45,11140,11140,11030,1724
1738,2017-04-21,11140,110,11205,11215,11135,13362
1737,2017-04-24,11420,280,11205,11570,11185,53447
1736,2017-04-25,11640,220,11655,11665,11590,369860
1735,2017-04-26,11640,0,11675,11675,11600,8706
1734,2017-04-27,11615,25,11660,11660,11585,31661
1730,2017-04-28,11625,10,11605,11625,11575,13756
1729,2017-05-02,11595,30,11885,11885,11535,5627
1728,2017-05-04,11695,100,11600,11695,11600,43919
1727,2017-05-08,11890,195,11855,11900,11820,20648
1726,2017-05-10,11910,20,11995,11995,11900,8585
1723,2017-05-11,11900,10,11925,11930,11900,10262
1722,2017-05-12,11800,100,11860,11885,11800,24005
1721,2017-05-15,11920,120,11915,11920,11875,11610
1720,2017-05-16,11950,30,11930,11960,11900,9328
