,Date,Close,Diff,Open,High,Low,Volume
1646,2017-08-11,5655,35,5630,5655,5630,925
1645,2017-08-14,5620,35,5645,5645,5615,1963
1644,2017-08-16,5620,0,5620,5620,5590,851
1640,2017-08-17,5765,145,5660,5765,5660,436
1639,2017-08-18,5720,45,5720,5720,5700,1223
1638,2017-08-21,5715,5,5680,5715,5680,387
1637,2017-08-22,5780,65,5770,5790,5760,820
1636,2017-08-23,5750,30,5780,5780,5750,230
1633,2017-08-24,5805,55,5780,5805,5780,313
1632,2017-08-25,5865,60,5820,5990,5820,112
1631,2017-08-28,5785,80,5815,5815,5785,1325
1630,2017-08-29,5820,35,5800,5830,5800,683
1629,2017-08-30,5915,95,5885,5915,5885,689
1625,2017-08-31,5885,30,5890,5890,5820,629
1624,2017-09-01,5940,55,5935,5940,5920,278
1623,2017-09-04,5960,20,5990,5990,5960,2206
1622,2017-09-05,5985,25,5985,5985,5955,748
1621,2017-09-06,6005,20,5995,6005,5975,5251
1618,2017-09-07,5985,20,5985,5985,5970,386
1617,2017-09-08,5975,10,5975,5975,5945,2026
1616,2017-09-11,5850,125,5850,5850,5825,2478
1615,2017-09-12,5890,40,5820,5920,5820,2243
1614,2017-09-13,5895,5,5865,5895,5865,1192
1610,2017-09-14,5770,125,6065,6065,5745,2411
1609,2017-09-15,5735,35,5910,5910,5705,879
1608,2017-09-18,5710,25,5700,5715,5685,2482
1607,2017-09-19,5715,5,5815,5815,5715,306
1606,2017-09-20,5750,35,5700,5780,5700,375
1603,2017-09-21,5840,90,5810,5840,5810,2176
1602,2017-09-22,5790,50,5790,5790,5760,1682
1601,2017-09-25,5735,55,5735,5735,5705,1330
1600,2017-09-26,5720,15,5720,5720,5720,65
1599,2017-09-27,5670,50,5700,5700,5670,1176
1595,2017-09-28,5710,40,5870,5870,5520,1090
1594,2017-09-29,5750,40,5720,5750,5720,1363
1593,2017-10-10,5800,50,5870,5870,5630,154
1592,2017-10-11,5885,85,5880,5885,5880,1489
1591,2017-10-12,5880,5,5880,5880,5855,127
1588,2017-10-13,5920,40,5920,5950,5920,613
1587,2017-10-16,5940,20,5920,5940,5920,99
1586,2017-10-17,6085,145,6060,6090,6060,2854
1585,2017-10-18,5985,100,5985,6010,5980,332
1584,2017-10-19,5980,5,5920,5985,5920,421
1580,2017-10-20,5990,10,5985,6015,5985,194
1579,2017-10-23,5980,10,5990,5990,5980,153
1578,2017-10-24,6025,45,6025,6025,6025,185
1577,2017-10-25,6030,5,6030,6030,6030,256
1576,2017-10-26,6075,45,6035,6075,6035,117
1573,2017-10-27,6030,45,6075,6075,6030,713
1572,2017-10-30,5950,80,5950,5950,5940,163
1571,2017-10-31,5975,25,5975,5975,5950,272
1570,2017-11-01,5985,10,5985,5985,5980,814
1569,2017-11-02,6045,60,5985,6065,5985,694
1565,2017-11-03,6035,10,6100,6100,6020,63
1564,2017-11-06,6035,0,6025,6035,6025,246
1563,2017-11-07,6060,25,6020,6070,6020,353
1562,2017-11-08,5935,125,5935,5935,5920,1073
1561,2017-11-09,5935,0,5935,5935,5935,76
1558,2017-11-10,5865,70,5870,5870,5860,1076
1557,2017-11-13,5870,5,5815,5870,5815,811
1556,2017-11-14,5945,75,5935,5945,5915,1553
1555,2017-11-15,5780,165,5805,5805,5780,783
1554,2017-11-16,5830,50,5860,5860,5830,356
1550,2017-11-17,5810,20,5800,5810,5795,287
1549,2017-11-20,5775,35,5885,5885,5770,601
1548,2017-11-21,5840,65,5950,5950,5840,19
1547,2017-11-22,5870,30,5885,5885,5865,152
1546,2017-11-23,5930,60,5895,5930,5895,122
1543,2017-11-24,5930,0,5900,5930,5900,474
1542,2017-11-27,5980,50,5980,5990,5980,1096
1541,2017-11-28,5945,35,5945,5945,5920,21
1540,2017-11-29,5835,110,5835,5835,5805,448
1539,2017-11-30,5790,45,5790,5790,5780,541
1535,2017-12-01,5755,35,5755,5755,5745,790
1534,2017-12-04,5810,55,5790,5820,5790,1362
1533,2017-12-05,5800,10,5790,5805,5790,65
1532,2017-12-06,5645,155,5645,5645,5635,2253
1531,2017-12-07,5595,50,5625,5625,5595,1954
1528,2017-12-08,5605,10,5600,5610,5600,1058
1527,2017-12-11,5605,0,5605,5615,5605,110
1526,2017-12-12,5675,70,5680,5680,5650,832
1525,2017-12-13,5655,20,5650,5655,5650,10056
1524,2017-12-14,5680,25,5680,5680,5680,153
1520,2017-12-15,5730,50,5725,5735,5720,10502
1519,2017-12-18,5800,70,5800,5810,5800,893
1518,2017-12-19,5825,25,5800,5835,5800,3842
1517,2017-12-20,5860,35,5860,5890,5860,366
1516,2017-12-21,5945,85,5940,5945,5940,243
1513,2017-12-22,6005,60,5920,6010,5920,6686
1512,2017-12-26,6065,60,6065,6090,6065,176
1511,2017-12-27,6065,0,6065,6085,6065,280
1510,2017-12-28,6180,115,6105,6200,6105,281
1509,2018-01-02,6245,65,6230,6245,6230,2032
1505,2018-01-03,6235,10,6235,6235,6215,902
1504,2018-01-04,6155,80,6155,6155,6125,3971
1503,2018-01-05,6195,40,6155,6210,6100,909
1502,2018-01-08,6120,75,6190,6190,6100,2625
1501,2018-01-09,6080,40,6085,6085,6075,2418
1498,2018-01-10,6030,50,6060,6060,6030,1801
